비고,ID,index,상세 설명,소분류,중요도,편집자
,,[회원],,,,기호 김
,USR-01,,유저는 개인정보를 입력하고 이용약관·개인정보처리방침에 각각 동의하여 회원가입 버튼을 클릭한다.,회원가입,상,기호 김
이메일 인증 완료 시 가입 성립,USR-02,,유저는 이메일과 비밀번호를 입력하여 로보시지 판매 사이트에 로그인한다.,로그인,상,기호 김
이메일은 수정 불가,USR-03,,유저는 마이페이지에서 이메일을 제외한 나머지 개인 정보를 수정할 수 있다.,회원정보 수정,상,기호 김
주문 이력 있으면 개인정보 익명화 + 거래기록 5년 보관,USR-04,,유저는 마이페이지 하단에서 회원탈퇴 버튼을 클릭하여 개인정보를 삭제한다.,회원탈퇴,상,기호 김
,USR-05,,유저는 로그아웃 버튼을 클릭하여 로그인 세션을 종료한다.,로그아웃,상,기호 김
,,[문의],,,,기호 김
B2B — 비로그인 허용,CON-01,,유저는 문의 페이지에서 개인정보와 문의 내용을 입력하여 문의하기 버튼을 클릭한다.,문의,하,기호 김
B2B,CON-02,,유저는 배송 주소와 사업자 등록증 사본을 추가 입력하고 로봇 견적을 선택하여 문의하기 버튼을 클릭한다.,로봇 구매 문의,하,기호 김
B2B,CON-03,,"유저는 구매자 여부, 구매 날짜를 추가 입력하여 문의하기 버튼을 클릭한다.",로봇 AS 문의,하,기호 김
,CON-04,,유저는 견적서 다운로드 버튼을 클릭하여 견적서 파일을 내려받을 수 있다.,견적서 다운로드,하,기호 김
,CON-05,,유저는 견적서를 다운로드하지 않고 브라우저에서 미리 볼 수 있다.,견적서 미리보기,하,기호 김
"B2C — 로그인 전용, 이름·연락처 자동 입력",CON-06,,회원은 판매 사이트에서 제품·배송·AS·환불 유형의 개인 문의를 등록할 수 있다.,개인 문의,중,기호 김
본인 문의만 조회 가능,CON-07,,회원은 마이페이지에서 본인의 개인 문의 내역과 처리 상태를 확인할 수 있다.,개인 문의 내역,중,기호 김
,,[쇼핑],,,,기호 김
,ORD-01,,유저는 장바구니 페이지에서 품목을 확인할 수 있다.,장바구니,중,기호 김
,ORD-02,,유저는 제품 상세 페이지에서 장바구니 품목을 추가할 수 있다.,장바구니 추가,중,기호 김
,ORD-03,,유저는 장바구니 페이지에서 품목을 수정할 수 있다.,장바구니 수정,중,기호 김
,ORD-04,,유저는 장바구니 페이지에서 품목을 삭제할 수 있다.,장바구니 삭제,중,기호 김
,ORD-05,,유저는 찜 페이지에서 품목을 확인할 수 있다.,찜,중,기호 김
,ORD-06,,유저는 찜 페이지에서 품목을 추가할 수 있다.,찜 추가,중,기호 김
,ORD-07,,유저는 찜 페이지에서 품목을 삭제할 수 있다.,찜 삭제,중,기호 김
마케팅 동의 회원 한정. 할인 판별 근거(할인가 필드 vs 수동 캠페인) 미결,ORD-08,,유저는 찜 품목이 할인할 때 알림으로 받을 수 있다.,마케팅 수신,중,기호 김
"카드·간편결제만 지원(가상계좌 없음), 비회원 구매 불가",ORD-09,,유저는 장바구니에 담긴 제품들을 주문하기 버튼을 통해 구매할 수 있다.,주문,중,기호 김
배송 전만 허용,ORD-10,,유저는 제품 배달 전에 주문을 취소할 수 있다.,주문 취소,중,기호 김
,ORD-11,,유저는 주문 내역을 확인하여 구매 제품들과 통합 가격을 확인할 수 있다.,주문 내역,중,기호 김
"회원 전용, 회원당 최대 5개",ORD-12,,회원은 주문 페이지에서 저장된 배송지 목록을 확인하고 선택할 수 있다.,배송지 조회,중,기호 김
,ORD-13,,회원은 주문 시 새 배송지를 주소록에 저장할 수 있다.,배송지 추가,중,기호 김
,ORD-14,,회원은 저장된 배송지를 수정할 수 있다.,배송지 수정,중,기호 김
,ORD-15,,회원은 저장된 배송지를 삭제할 수 있다.,배송지 삭제,중,기호 김
"사진 등 추가 자료는 답변 이메일로 주고받음, 배송 전(PAID)은 기존 즉시 취소 사용",ORD-16,,회원은 배송 완료된 주문의 환불 문의 버튼으로 주문이 연계된 환불 문의를 등록하고 주문 내역에서 환불 진행 상태를 확인할 수 있다.,환불 문의,중,기호 김
,,[관리자],,,,기호 김
별도 관리자 로그인 없음 — 일반 로그인 + 권한 검사,ADM-01,,관리자는 일반 로그인 후 관리자 권한(role)으로 관리자 페이지에 접근할 수 있다.,관리자 접근,중,기호 김
,ADM-02,,관리자는 관리자 페이지에서 전체 주문 내역을 확인할 수 있다.,전체 주문 내역,중,기호 김
,ADM-03,,관리자는 관리자 페이지에서 개별 주문 내역을 확인할 수 있다.,개별 주문 내역,중,기호 김
,ADM-04,,관리자는 관리자 페이지에서 전체 유저를 확인할 수 있다.,전체 유저,중,기호 김
,ADM-05,,관리자는 관리자 페이지에서 개별 유저를 확인할 수 있다.,개별 유저,중,기호 김
,ADM-06,,관리자는 관리자 페이지에서 배달 관리할 수 있다.,주문 배달 관리,중,기호 김
"B2B·B2C 통합, 불만·분쟁 표시로 보유기간 구분",ADM-07,,관리자는 관리자 페이지에서 문의 내역을 조회하고 처리 상태를 관리할 수 있다.,문의 관리,중,기호 김
환불 확정(승인) 권한은 관리자 전용 — 반품 회수·검수 후 처리,ADM-08,,"관리자는 환불 문의를 확인하고 해당 주문에 환불을 접수·승인(토스 결제 취소 — 전액 또는 반품비 차감)·거절할 수 있다.",환불 관리,중,기호 김
